2026-05-17T23:43:44.660722800 | client | REGISTER | RECEIVED
2026-05-17T23:49:28.386396400 | client | REGISTER | RECEIVED
2026-05-17T23:49:30.642153600 | client | REGISTER | RECEIVED
2026-05-17T23:49:35.146079800 | client | REGISTER | RECEIVED
2026-05-17T23:49:35.614936500 | client | REGISTER | RECEIVED
2026-05-17T23:49:46.722203500 | client | LOGIN | RECEIVED
2026-05-17T23:49:47.969793300 | client | LOGIN | RECEIVED
2026-05-17T23:49:48.185836200 | client | LOGIN | RECEIVED
2026-05-17T23:49:48.343970400 | client | LOGIN | RECEIVED
2026-05-17T23:58:26.142670400 | client | LOGIN | RECEIVED
2026-05-17T23:58:26.722103600 | client | TRANSACTION_FIND_BY_USER | RECEIVED
2026-05-17T23:58:34.360208100 | client | CATEGORY_FIND_ALL | RECEIVED
2026-05-17T23:58:34.389043600 | client | TYPE_FIND_ALL | RECEIVED
2026-05-17T23:58:43.252158400 | client | TRANSACTION_CREATE | RECEIVED
2026-05-17T23:58:44.355725900 | client | TRANSACTION_FIND_BY_USER | RECEIVED
2026-05-17T23:58:49.769226 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:12:00.470054600 | client | LOGIN | RECEIVED
2026-05-18T00:12:01.028061900 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-18T00:12:03.006026900 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:12:03.600347 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:12:13.175409400 | client | USER_FIND_ALL | RECEIVED
2026-05-18T00:12:13.175409400 | client | CATEGORY_FIND_ALL | RECEIVED
2026-05-18T00:12:19.060085200 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-18T00:12:20.334979500 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:13:20.133956500 | client | REGISTER | RECEIVED
2026-05-18T00:13:33.556013600 | client | LOGIN | RECEIVED
2026-05-18T00:13:33.626049600 | client | TRANSACTION_FIND_BY_USER | RECEIVED
2026-05-18T00:13:36.540238300 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:13:37.155254200 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:13:47.895113 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:13:49.961801200 | client | CATEGORY_FIND_ALL | RECEIVED
2026-05-18T00:13:49.988192800 | client | TYPE_FIND_ALL | RECEIVED
2026-05-18T00:14:01.175968500 | client | TRANSACTION_CREATE | RECEIVED
2026-05-18T00:14:02.160636800 | client | TRANSACTION_FIND_BY_USER | RECEIVED
2026-05-18T00:14:15.696403400 | client | REPORT_BY_DAY | RECEIVED
2026-05-18T00:14:16.718336700 | client | TRANSACTION_FIND_BY_USER | RECEIVED
2026-05-18T00:14:32.359241700 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:14:48.168035200 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:14:48.647676700 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-18T00:15:03.434850300 | client | LOGIN | RECEIVED
2026-05-18T00:15:03.497297800 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-28T13:58:44.310230 | client | LOGIN | RECEIVED
2026-05-28T14:00:08.642510 | client | LOGIN | RECEIVED
2026-05-28T14:00:08.792988500 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-28T14:00:23.421602200 | client | TRANSACTION_DELETE | RECEIVED
2026-05-28T14:00:23.451312500 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-28T14:00:30.219876700 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-28T14:00:35.011806900 | client | TRANSACTION_SEARCH | RECEIVED
2026-05-28T14:00:41.112638700 | client | REPORT_BY_DAY | RECEIVED
2026-05-28T14:00:43.157712100 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-28T14:00:44.476101200 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-28T14:00:45.472550800 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-28T14:00:46.615320300 | client | REPORT_BY_DAY | RECEIVED
2026-05-28T14:00:48.262662100 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-28T14:00:49.563744 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-05-28T14:00:50.949054600 | client | USER_FIND_ALL | RECEIVED
2026-05-28T14:00:50.950459800 | client | CATEGORY_FIND_ALL | RECEIVED
2026-05-28T14:01:23.312499100 | client | USER_UPDATE | RECEIVED
2026-05-28T14:01:25.109988100 | client | USER_FIND_ALL | RECEIVED
2026-06-03T08:28:20.909159700 | client | LOGIN | RECEIVED
2026-06-03T08:28:21.475508800 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:29:50.908786700 | client | REPORT_FAMILY_BY_DAY | RECEIVED
2026-06-03T08:29:53.619654700 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:29:55.017611900 | client | USER_FIND_ALL | RECEIVED
2026-06-03T08:29:55.018611600 | client | CATEGORY_FIND_ALL | RECEIVED
2026-06-03T08:30:26.839492600 | client | USER_CREATE | RECEIVED
2026-06-03T08:30:26.839492600 | client | USER_CREATE | ERROR: Mật khẩu không được trống.
2026-06-03T08:30:42.443074900 | client | USER_CREATE | RECEIVED
2026-06-03T08:30:45.294283500 | client | USER_UPDATE | RECEIVED
2026-06-03T08:30:46.922474800 | client | USER_FIND_ALL | RECEIVED
2026-06-03T08:31:01.189948 | client | LOGIN | RECEIVED
2026-06-03T08:31:07.301532800 | client | LOGIN | RECEIVED
2026-06-03T08:31:07.353493700 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:31:09.948736200 | client | USER_FIND_ALL | RECEIVED
2026-06-03T08:31:09.948736200 | client | CATEGORY_FIND_ALL | RECEIVED
2026-06-03T08:31:56.468525700 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:31:57.977872400 | client | REPORT_FAMILY_BY_DAY | RECEIVED
2026-06-03T08:31:59.147419400 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:32:10.658072900 | client | REPORT_FAMILY_BY_DAY | RECEIVED
2026-06-03T08:32:13.221581800 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:32:14.411717300 | client | USER_FIND_ALL | RECEIVED
2026-06-03T08:32:14.413084500 | client | CATEGORY_FIND_ALL | RECEIVED
2026-06-03T08:35:02.877014200 | client | LOGIN | RECEIVED
2026-06-03T08:35:02.929309400 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:35:28.346541200 | client | LOGIN | RECEIVED
2026-06-03T08:35:28.909060300 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:35:44.189707600 | client | REPORT_FAMILY_BY_DAY | RECEIVED
2026-06-03T08:35:48.230172700 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:35:49.255669700 | client | CATEGORY_FIND_ALL | RECEIVED
2026-06-03T08:35:49.255669700 | client | USER_FIND_ALL | RECEIVED
2026-06-03T08:42:51.171093100 | client | LOGIN | RECEIVED
2026-06-03T08:42:51.725671600 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:42:54.887643700 | client | REPORT_FAMILY_BY_DAY | RECEIVED
2026-06-03T08:42:57.499430500 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:42:58.607643500 | client | USER_FIND_ALL | RECEIVED
2026-06-03T08:42:58.607643500 | client | CATEGORY_FIND_ALL | RECEIVED
2026-06-03T08:43:06.474698100 | client | TRANSACTION_FIND_ALL | RECEIVED
2026-06-03T08:43:39.982490100 | client | RESET_PASSWORD | RECEIVED
2026-06-03T08:43:52.233700200 | client | LOGIN | RECEIVED
2026-06-03T08:43:52.329046400 | client | TRANSACTION_FIND_BY_USER | RECEIVED
2026-06-03T08:43:54.622088500 | client | CATEGORY_FIND_ALL | RECEIVED
